1,11933
2,11310
3,13970
4,9883
5,9628
6,14154
7,13189
1,10841
2,9092
3,8756
4,8221
5,9407
6,14394
7,7388
1,9803
2,9427
3,10478
4,8047
5,9553
6,13031
7,13807
1,10464
2,9602
3,15009
4,9328
5,9159
6,13212
7,11467
1,10423
2,9467
3,8779
4,8308
5,9042
6,11939
7,12075
1,10569
2,10809
3,10387
4,9403
5,9618
6,13509
7,13409
1,10454
2,9660
3,8730
4,7984
5,9097
6,13696
7,12229
1,10489
2,9167
3,8665
4,8023
5,9121
6,12931
7,14044
1,10457
2,10999
3,10648
4,9351
5,7745
6,12800
7,13468
1,10919
2,10868
3,8878
4,9395
5,13613
6,13442
7,14306
1,10596
2,10992
3,10619
4,13651
5,9519
6,14407
7,12628
1,10821
2,9485
3,8511
4,9796
5,13880
6,12596
7,13244
1,11715
2,9548
3,13975
4,8407
5,9241
6,13745
7,12800
1,12233
2,10802
3,14230
4,8041
5,13037
6,13747
7,12876
1,11883
2,11349
3,10517
4,9877
5,9873
6,13985
7,13287
1,12024
2,10833
3,10051
4,13450
5,7972
6,12670
7,13077
1,11676
2,14474
3,8513
4,13387
5,13752
6,13412
7,12948
1,11683
2,11329
3,10493
4,13829
5,13081
6,14362
7,13060
1,11648
2,9228
3,10214
4,8096
5,8011
6,13398
7,13416
1,10546
2,9617
3,8429
4,13209
5,7899
6,13749
7,13989
1,10250
2,9223
3,8873
4,9460
5,9185
6,13674
7,11948
1,12260
2,11111
3,8937
4,8230
5,7805
6,12939
7,12782
1,12230
2,9367
3,10549
4,9784
5,7719
6,12896
7,14166
1,12218
2,10663
3,14107
4,13426
5,9369
6,12925
7,13889
1,11856
2,11274
3,8261
4,8400
5,9324
6,7184
7,12100
1,11876
2,11250
3,8586
4,10135
5,9542
6,12902
7,13224
1,11613
2,9490
3,8872
4,9374
5,9413
6,13888
7,13365
1,12128
2,11342
3,13607
4,7994
5,13527
6,12765
7,12956
1,11758
2,11214
3,10235
4,8193
5,7756
6,14222
7,14116
1,11610
2,11324
3,10153
4,10282
5,7499
6,12501
7,13396
1,10898
2,9073
3,8836
4,9368
5,9597
6,13397
7,13646
1,10564
2,9432
3,8532
4,7177
5,7344
6,12281
7,12746
1,12265
2,9082
3,8535
4,9961
5,8049
6,7166
7,12451
1,10909
2,11288
3,10669
4,8432
5,9624
6,14471
7,14373
1,12251
2,14143
3,8416
4,9749
5,9454
6,13572
7,12654
1,10956
2,9859
3,10271
4,9441
5,9345
6,11673
7,13209
1,12255
2,11065
3,14332
4,9698
5,9391
6,13436
7,13229
1,12263
2,10609
3,8778
4,8159
5,9495
6,12540
7,14585
1,12166
2,9306
3,10053
4,9400
5,9736
6,13729
7,14144
1,10639
2,9431
3,8767
4,9380
5,9657
6,14471
7,11610
1,12238
2,9061
3,10021
4,9800
5,13266
6,12031
7,12262
1,16310
2,9563
3,10584
4,13139
5,9527
6,13075
7,12912
1,15811
2,10883
3,10550
4,9745
5,9618
6,10876
7,12677
1,10529
2,9216
3,10183
4,10080
5,9288
6,12631
7,11863
1,11541
2,9226
3,10527
4,14145
5,9414
6,13052
7,13224
1,12157
2,9745
3,10416
4,13105
5,7815
6,12659
7,14237
1,10033
2,9183
3,10372
4,9684
5,9337
6,12402
7,13812
1,10952
2,10774
3,7051
4,8260
5,7503
6,13340
7,12879
1,11864
2,9315
3,15203
4,7985
5,9634
6,13629
7,11961
1,12822
2,9543
3,8042
4,7971
5,9383
6,14269
7,14479
1,11828
2,9616
3,10356
4,10193
5,9588
6,12329
7,14349
1,10905
2,9222
3,10411
4,8029
5,9323
6,13281
7,14133
1,11629
2,10939
3,10421
4,7998
5,7937
6,10478
7,13630
1,12230
2,9259
3,8747
4,9721
5,9443
6,14612
7,13317
1,10787
2,10952
3,8972
4,9707
5,13992
6,12673
7,14048
1,10438
2,11147
3,10299
4,9455
5,7856
6,14207
7,12804
1,12022
2,9099
3,8739
4,9756
5,9693
6,10507
7,12897
1,10941
2,11336
3,10095
4,13741
5,9193
6,13436
7,13062
1,11560
2,11316
3,8666
4,9786
5,9386
6,12645
7,12780
1,10698
2,9652
3,10646
4,14041
5,7732
6,12606
7,12016
1,11751
2,8471
3,10028
4,9866
5,9736
6,14463
7,13809
1,10631
2,9449
3,8580
4,9380
5,9529
6,12958
7,12383
1,9899
2,11118
3,14324
4,8054
5,9191
6,12409
7,13490
1,11029
2,14183
3,8697
4,8361
5,7967
6,13971
7,13062
1,10637
2,9619
3,8919
4,10061
5,7954
6,12709
7,12683
1,10744
2,9444
3,10210
4,13073
5,9270
6,12583
7,13805
1,10957
2,9555
3,8660
4,9913
5,7735
6,11665
7,12879
1,10450
2,9108
3,7866
4,8444
5,9521
6,14240
7,12699
1,15588
2,10957
3,8082
4,7932
5,9906
6,12896
7,13334
1,10681
2,9721
3,8629
4,14242
5,9720
6,12895
7,12906
